bookingid,customerid,first_name,last_name,device_used,booking_channel,bookingid_norm
700099@,,Yuki,Dubois,Tablet,Condor App,700099
700099,,Alex,Schmidt,Desktop,Condor Website,700099
700104,208435.0,Stefan,Dubois,iPhone, Mobile App,700104
700104,563563.0,Lina,Garcia,desktop,Call Center,700104
700104,,Carlos,Martinez,android,Condor App,700104
700109 ,,Alex,Müller,Android, Condor App,700109
700109,,Carlos,Schmidt,Android,Condor App,700109
700111,146447.0,Ali,Garcia,Tablet, Call Center,700111
700111,618749.0,Ali,Smith,iPhone,call center,700111
700113,,Maya,Smith,iPhone,Mobile App,700113
700113,,Carlos,Smith,iPhone,Condor App,700113
700114,482589.0,Ali,Tanaka,DESKTOP,Mobile App,700114
700114,302524.0,Omar,Dubois,iPhone,Condor App,700114
700116,,Alex,Smith,Android,Travel Agency,700116
700116,627691.0,Stefan,Smith,Android,Mobile App,700116
700116,,Stefan,Khan,tablet,Condor App,700116
700119,,Fatima,Rossi, Tablet,Mobile App,700119
700119,677058.0,Omar,Smith,iPhone,Condor App,700119
700120,,Carlos,Nguyen,Desktop ,Call Center,700120
700120,,Carlos,Nguyen,Desktop ,mobile app,700120
700121,,Maya,Martinez,iPhone,Call Center,700121
700121,,Fatima,Schmidt,Desktop,Condor App,700121
700127,,Carlos,Schmidt,Desktop,CONDOR WEBSITE,700127
700127,,Ali,Tanaka,Desktop ,Call Center,700127
700128,250440.0,Maya,Smith,Android,Condor App,700128
700128,933178.0,Lina,Dubois,DESKTOP, Condor App,700128
700129,643774.0,Ali,Garcia,iPhone,Condor App,700129
700129,,Maya,Khan,iphone,travel agency,700129
700131,,Carlos,Smith,Android,Mobile App,700131
700131 ,524564.0,Carlos,Nguyen,Desktop,Condor Website,700131
700132,,Omar,Smith,DESKTOP,Condor Website,700132
700132,,Yuki,Nguyen,Android,Condor App,700132
700135,859687.0,Carlos,Garcia,iPhone,Call Center,700135
700135 ,,Lina,Dubois,Desktop,CONDOR WEBSITE,700135
700136,733019.0,Maya,Tanaka,iPhone,Mobile App,700136
700136,443510.0,Jamie,Tanaka,iPhone,Travel Agency ,700136
700138,372661.0,Jamie,Müller,iphone,Travel Agency,700138
700138 ,,Stefan,Schmidt,iPhone,Call Center,700138
700138,,Stefan,Smith,Tablet,Call Center,700138
700139,669926.0,Carlos,Dubois,Desktop,Mobile App,700139
700139,,Carlos,Khan,Desktop ,Call Center,700139
700151,,Stefan,Schmidt,iPhone,Condor App,700151
700151!,916880.0,Jamie,Martinez,Desktop,Call Center,700151
700154,665981.0,Maya,Tanaka,iPhone,MOBILE APP,700154
700154,113825.0,Maya,Martinez,Tablet,Condor App,700154
700158,,Fatima,Smith, Desktop,Travel Agency,700158
700158,744151.0,Omar,Smith,iPhone,Condor Website,700158
700159,990052.0,Omar,Müller,Desktop,CONDOR WEBSITE,700159
700159,556157.0,Stefan,Dubois,iPhone,condor website,700159
700162,555194.0,Omar,Smith,Desktop,Condor Website,700162
700162,,Alex,Khan,iPhone,travel agency,700162
700163@,786593.0,Stefan,Rossi,iPhone,Mobile App,700163
700163,230945.0,Fatima,Müller,Tablet,Travel Agency,700163
700167@,,Carlos,Schmidt,Android,Condor App,700167
700167,556185.0,Omar,Tanaka,Desktop,Condor Website,700167
700168,919018.0,Jamie,Dubois,Android,CALL CENTER,700168
700168,786460.0,Maya,Garcia,Desktop,Travel Agency,700168
700172@,589736.0,Jamie,Schmidt,Android,Call Center,700172
700172,,Fatima,Garcia,iPhone,Travel Agency,700172
700177,,Omar,Khan,Desktop,mobile app,700177
700177!,932549.0,Lina,Martinez,iPhone,Mobile App,700177
700182,,Stefan,Tanaka,DESKTOP,Mobile App,700182
700182,580719.0,Omar,Garcia,Desktop,Travel Agency,700182
700186,658774.0,Fatima,Garcia,Tablet,MOBILE APP,700186
700186,694627.0,Ali,Khan,Tablet,Condor App,700186
700188,709781.0,Omar,Khan, Desktop,Mobile App,700188
700188,,Stefan,Nguyen,iPhone, Call Center,700188
700189,298906.0,Jamie,Nguyen, Tablet,Condor App,700189
700189,,Jamie,Schmidt,iPhone,Call Center,700189
700190,331440.0,Lina,Rossi,Android,Mobile App,700190
700190,966462.0,Fatima,Schmidt,Android,Condor Website,700190
700190,,Alex,Garcia,Desktop,Travel Agency,700190
700191,,Stefan,Nguyen,Android,Travel Agency,700191
700191,392434.0,Carlos,Smith,Android,Condor Website,700191
700192,,Maya,Tanaka,Tablet,Mobile App,700192
700192,682277.0,Maya,Schmidt,iPhone,Condor Website,700192
700195,347481.0,Maya,Martinez,DESKTOP,Condor Website,700195
700195,,Ali,Garcia,Android, Travel Agency,700195
700197,478473.0,Ali,Garcia,IPHONE,Call Center,700197
700197,,Omar,Nguyen,Tablet,TRAVEL AGENCY,700197
700198,,Carlos,Nguyen,Desktop,Travel Agency ,700198
700198,787105.0,Fatima,Dubois,iPhone,Travel Agency,700198
700201 ,,Carlos,Dubois,Desktop,Condor Website,700201
700201,,Carlos,Rossi,Desktop,Call Center,700201
700203,,Yuki,Dubois,Tablet,Condor App,700203
700203,697371.0,Yuki,Martinez,Desktop,Condor App ,700203
700206,453686.0,Omar,Müller,Tablet,Call Center,700206
700206,,Yuki,Dubois,iPhone,Condor Website ,700206
700207,,Ali,Garcia,Desktop, Travel Agency,700207
700207,,Fatima,Tanaka,Desktop,Mobile App,700207
700209,,Fatima,Dubois,DESKTOP,MOBILE APP,700209
700209,158473.0,Stefan,Khan,Android,Mobile App,700209
700216,298918.0,Ali,Nguyen,android,Condor App,700216
700216,564720.0,Lina,Rossi, iPhone,CALL CENTER,700216
700217,,Omar,Martinez,Desktop,Condor App ,700217
700217@,,Ali,Garcia,Android,Condor App,700217
700219,162628.0,Omar,Smith,Android,Mobile App,700219
700219,,Jamie,Tanaka,Tablet,Call Center,700219
700220,885725.0,Carlos,Smith,ANDROID,Travel Agency,700220
700220!,,Alex,Nguyen,ANDROID,Condor Website,700220
700223,,Maya,Müller,iPhone,Mobile App,700223
700223,,Omar,Garcia,Android,mobile app,700223
700224,118088.0,Carlos,Khan,Desktop,CALL CENTER,700224
700224,,Alex,Khan,Android ,Condor App,700224
700225,596078.0,Maya,Dubois,Desktop ,Condor Website,700225
700225,,Alex,Rossi,Tablet,Condor App,700225
700230,,Yuki,Schmidt,Android,Travel Agency,700230
700230,,Jamie,Smith,Desktop,TRAVEL AGENCY,700230
700231,,Maya,Müller,iPhone,Mobile App,700231
700231,596069.0,Fatima,Garcia,iPhone ,Condor Website,700231
700232,,Lina,Martinez,iPhone,Call Center,700232
700232,,Carlos,Rossi,Tablet,Condor App,700232
700234,586717.0,Alex,Khan,Android,Condor App,700234
700234,231322.0,Maya,Schmidt,tablet,CALL CENTER,700234
700236,,Carlos,Dubois,Android,Condor Website,700236
700236,173235.0,Stefan,Rossi,desktop,Condor Website,700236
700236,124490.0,Ali,Schmidt,Desktop,Condor App,700236
700237,763918.0,Omar,Garcia,iPhone,Condor Website,700237
700237,571356.0,Ali,Martinez,Android,travel agency,700237
700238,,Maya,Garcia,iPhone ,Condor App,700238
700238@,748644.0,Ali,Müller,Desktop,Call Center ,700238
700239,815865.0,Omar,Müller,Tablet,Condor App,700239
700239,191644.0,Maya,Nguyen,iPhone,Condor Website,700239
700243,,Yuki,Rossi,Tablet, Travel Agency,700243
700243,181720.0,Yuki,Khan,Desktop,Mobile App,700243
700246,,Alex,Müller,TABLET,Mobile App,700246
700246,,Stefan,Nguyen,Desktop,Travel Agency,700246
700250,426974.0,Stefan,Garcia,iphone,CALL CENTER,700250
700250,,Omar,Schmidt,iPhone,Call Center,700250
700250,,Stefan,Müller,iPhone,Mobile App,700250
700252,,Alex,Garcia,Tablet, Travel Agency,700252
700252!,176324.0,Fatima,Tanaka,Desktop,Condor App,700252
700255,,Lina,Schmidt,iPhone ,Condor Website,700255
700255,,Alex,Nguyen,Tablet,Mobile App,700255
700265,,Jamie,Rossi, Android,Condor Website,700265
700265,,Alex,Müller,Desktop,TRAVEL AGENCY,700265
700265,622240.0,Yuki,Müller,Desktop,Condor Website,700265
700266 ,939611.0,Ali,Martinez,Android,mobile app,700266
700266,497421.0,Lina,Tanaka,iPhone,Travel Agency,700266
700267,,Ali,Garcia,Tablet,Condor App,700267
700267,,Fatima,Müller,iPhone ,Travel Agency,700267
700268,851472.0,Ali,Martinez,Android,Mobile App,700268
700268,,Omar,Khan,Android,Call Center,700268
700269,771212.0,Yuki,Nguyen,iPhone,Condor App,700269
700269,,Omar,Tanaka,iPhone,Mobile App,700269
700269,865906.0,Maya,Khan,iPhone,Mobile App,700269
700272,,Lina,Tanaka,iPhone,travel agency,700272
700272,,Maya,Schmidt,desktop, Call Center,700272
700272,224334.0,Stefan,Müller,Tablet,Condor App,700272
700275,699370.0,Yuki,Schmidt,Android, Condor Website,700275
700275,716076.0,Lina,Schmidt,iPhone,Condor App,700275
700275,646445.0,Fatima,Garcia,Android,Travel Agency,700275
700276,159528.0,Maya,Nguyen,Tablet,Call Center,700276
700276,,Fatima,Rossi,Tablet,Condor App,700276
700279@,111816.0,Omar,Schmidt,Android,Call Center,700279
700279,545768.0,Yuki,Tanaka,Android,CONDOR WEBSITE,700279
700281,606703.0,Jamie,Rossi,Tablet , Condor App,700281
700281,,Stefan,Tanaka,iPhone,Mobile App,700281
700286@,399842.0,Carlos,Nguyen,Tablet,Travel Agency,700286
700286,244879.0,Stefan,Tanaka,Tablet,Condor App,700286
700286,659868.0,Carlos,Garcia,Android, Condor App,700286
700290,312605.0,Alex,Khan,tablet,Condor App ,700290
700290,,Stefan,Smith,desktop,Call Center,700290
700292!,911372.0,Yuki,Nguyen,iPhone,CALL CENTER,700292
700292,,Carlos,Tanaka,IPHONE,Condor Website,700292
700295,,Carlos,Khan,Desktop,Condor App ,700295
700295,984248.0,Stefan,Tanaka,Tablet,Call Center ,700295
700296,,Carlos,Dubois,ANDROID,Condor App,700296
700296,,Carlos,Khan,Desktop,Condor Website,700296
700297,205654.0,Carlos,Tanaka,iPhone,Travel Agency ,700297
700297,587734.0,Alex,Nguyen,DESKTOP,Condor App,700297
700298,,Lina,Nguyen,Tablet,call center,700298
700298,,Maya,Nguyen,iPhone,CALL CENTER,700298
700298,768572.0,Jamie,Dubois,Tablet,Condor Website ,700298
700299,,Ali,Garcia,Tablet,Travel Agency,700299
700299,530399.0,Omar,Müller,Android,Condor Website,700299
700301,374922.0,Ali,Schmidt,Tablet ,Mobile App,700301
700301,128134.0,Stefan,Martinez,Tablet,mobile app,700301
700302,539397.0,Omar,Schmidt,Android,TRAVEL AGENCY,700302
700302,502608.0,Jamie,Nguyen,Android,Call Center,700302
700302,782117.0,Fatima,Nguyen,Android,Condor Website,700302
700303@,,Carlos,Nguyen,iPhone,Condor App,700303
700303,666285.0,Stefan,Smith,Desktop,Condor Website,700303
700303,932387.0,Maya,Müller,Android,Condor App,700303
700309,323587.0,Omar,Tanaka,iPhone,Mobile App ,700309
700309,148853.0,Lina,Smith,Android,Call Center,700309
700309,319567.0,Ali,Schmidt,Desktop,Call Center,700309
700315,,Ali,Garcia,Android,Mobile App,700315
700315,852422.0,Alex,Rossi, Android,CONDOR WEBSITE,700315
700319,956608.0,Jamie,Schmidt,Android,Condor App,700319
700319,885806.0,Maya,Rossi,Tablet,Travel Agency,700319
700322,,Lina,Martinez,iphone, Call Center,700322
700322,,Yuki,Khan,TABLET,Mobile App,700322
700324,112849.0,Alex,Khan,IPHONE,Travel Agency,700324
700324,362234.0,Yuki,Schmidt,iPhone,Mobile App,700324
700325!,564075.0,Yuki,Rossi,Tablet,Condor App,700325
700325,,Maya,Rossi,Android,Condor Website,700325
700325,864024.0,Omar,Rossi,ANDROID,Travel Agency,700325
700329,140366.0,Fatima,Dubois, Tablet,Call Center,700329
700329,,Maya,Martinez,iPhone,MOBILE APP,700329
700329,,Stefan,Dubois,Desktop,Call Center,700329
700331,354126.0,Ali,Tanaka,Desktop,Condor App,700331
700331,509493.0,Jamie,Martinez, Tablet,Call Center,700331
700334,,Stefan,Martinez,iPhone ,Mobile App,700334
700334,185782.0,Lina,Nguyen,iPhone,Condor App,700334
700335,967398.0,Jamie,Garcia,iPhone,Call Center,700335
700335,446136.0,Jamie,Schmidt,Android,Condor Website,700335
700340,,Jamie,Schmidt,Tablet,Condor App,700340
700340,,Ali,Rossi,desktop,Mobile App,700340
700345,,Alex,Rossi,Desktop,Travel Agency,700345
700345,236909.0,Fatima,Garcia, Tablet,Mobile App,700345
700346,,Stefan,Smith, Tablet,Travel Agency,700346
700346,,Ali,Rossi,android,CALL CENTER,700346
700347,145676.0,Yuki,Müller,iPhone,Condor Website,700347
700347,750493.0,Yuki,Smith,iPhone, Condor App,700347
700348,544474.0,Alex,Müller,tablet,Condor Website,700348
700348,,Omar,Nguyen,Tablet,Mobile App ,700348
700352,,Omar,Nguyen, iPhone,Travel Agency,700352
700352,241560.0,Carlos,Rossi,Android,Mobile App ,700352
700352 ,,Omar,Nguyen,TABLET,Condor App ,700352
700358,155164.0,Ali,Garcia,Android,Condor App ,700358
700358,,Jamie,Dubois,Desktop,Call Center,700358
700359,408643.0,Stefan,Dubois,Android,Mobile App,700359
700359,,Alex,Tanaka,Desktop,Condor App,700359
700360,875996.0,Lina,Khan,Desktop,TRAVEL AGENCY,700360
700360,678959.0,Alex,Smith,Tablet,travel agency,700360
700361,,Fatima,Müller, Desktop,Condor App,700361
700361,972380.0,Fatima,Dubois,Android,Mobile App,700361
700363,744327.0,Maya,Smith,iPhone,Condor Website,700363
700363,746699.0,Omar,Khan,Desktop,Call Center,700363
700364@,,Omar,Smith,Tablet,Condor App,700364
700364,686234.0,Maya,Dubois,Tablet,Condor Website ,700364
700366,404539.0,Fatima,Garcia,Desktop,Condor App,700366
700366,780309.0,Stefan,Dubois,Desktop, Condor Website,700366
700366,114819.0,Omar,Schmidt, Tablet,Mobile App,700366
700369,101193.0,Lina,Martinez,Desktop,Condor Website,700369
700369,371188.0,Jamie,Schmidt,Desktop,CONDOR WEBSITE,700369
700369@,,Maya,Smith,Android,CONDOR APP,700369
700371,964441.0,Lina,Smith,Tablet, Travel Agency,700371
700371,196052.0,Maya,Dubois,Tablet ,Mobile App,700371
700371,870200.0,Yuki,Garcia,Android,Condor Website,700371
700372,,Alex,Garcia,Desktop,Call Center,700372
700372,170517.0,Omar,Garcia,Android,Condor App,700372
700373,,Alex,Martinez, Android,Call Center,700373
700373,729891.0,Carlos,Garcia,Android,Condor App,700373
700378,,Ali,Rossi,Desktop,Travel Agency,700378
700378,,Fatima,Rossi,ANDROID,Condor Website,700378
700381,,Omar,Rossi,iPhone,Travel Agency,700381
700381,,Stefan,Nguyen,Tablet ,Condor App ,700381
700381,807463.0,Maya,Nguyen,Android,Condor App ,700381
700382,,Fatima,Smith,Tablet ,Condor Website,700382
700382,500290.0,Maya,Tanaka,iPhone,Mobile App,700382
700386,819833.0,Omar,Tanaka,iPhone,Condor App,700386
700386,899424.0,Omar,Khan,Tablet,Condor Website ,700386
700388,787391.0,Omar,Müller,Desktop, Travel Agency,700388
700388,613194.0,Maya,Tanaka,iPhone ,Mobile App,700388
700388,589745.0,Ali,Nguyen,Desktop,Travel Agency,700388
700389,751026.0,Stefan,Müller,Desktop,Condor App,700389
700389@,285800.0,Lina,Garcia,iPhone, Call Center,700389
700390,,Stefan,Dubois,Android,Mobile App,700390
700390@,,Maya,Tanaka,iPhone,Travel Agency,700390
700392 ,,Yuki,Tanaka,Tablet,Condor App,700392
700392,676567.0,Ali,Schmidt,Android,Travel Agency,700392
700392!,280329.0,Fatima,Khan,iPhone,Condor App,700392
700393@,,Carlos,Nguyen,IPHONE,Mobile App,700393
700393,645946.0,Carlos,Rossi,Tablet,Condor App,700393
700399,513869.0,Jamie,Garcia,Desktop,Mobile App,700399
700399,,Yuki,Martinez,Desktop,Condor App,700399
700400,246270.0,Fatima,Martinez,Desktop,travel agency,700400
700400,,Yuki,Rossi,Desktop,Call Center,700400
700401,132336.0,Stefan,Rossi,Tablet,Travel Agency,700401
700401,524832.0,Alex,Nguyen,iPhone,Call Center,700401
700404,515782.0,Jamie,Martinez,Android,Condor Website,700404
700404,952594.0,Maya,Khan,Desktop,Call Center,700404
700408,899669.0,Jamie,Smith,TABLET,Condor Website,700408
700408,,Carlos,Garcia,Tablet,Mobile App,700408
700411,911641.0,Lina,Garcia, iPhone,Condor App,700411
700411!,238223.0,Maya,Rossi,iPhone,Condor Website ,700411
700416,,Omar,Nguyen,Android,Condor App,700416
700416,656552.0,Alex,Martinez,Desktop,Mobile App,700416
700417,,Carlos,Rossi,Tablet,MOBILE APP,700417
700417,,Fatima,Nguyen,Android, Call Center,700417
700417,,Yuki,Martinez,Tablet,Call Center,700417
700418,504927.0,Ali,Nguyen,Android,Mobile App,700418
700418,752840.0,Alex,Müller,Android, Mobile App,700418
700421@,677128.0,Carlos,Nguyen,Tablet ,Travel Agency,700421
700421,,Carlos,Rossi,Desktop,MOBILE APP,700421
700422,357510.0,Lina,Khan,iPhone,Condor Website,700422
700422,,Carlos,Martinez,ANDROID,Condor App,700422
700422,,Lina,Schmidt,desktop,Travel Agency,700422
700424,623883.0,Fatima,Müller,iPhone, Condor App,700424
700424,109994.0,Carlos,Smith,Desktop,Condor App,700424
700425,,Jamie,Garcia,Android,Call Center ,700425
700425,325906.0,Ali,Smith,Tablet,Call Center,700425
700433,829913.0,Omar,Khan,Tablet,Condor Website,700433
700433,,Jamie,Garcia,Tablet,CONDOR APP,700433
700433!,919304.0,Maya,Dubois,Tablet,Mobile App,700433
700434,811476.0,Fatima,Müller,iPhone,mobile app,700434
700434,886395.0,Stefan,Smith,iPhone,Condor App,700434
700436,,Fatima,Martinez,iPhone,condor app,700436
700436,,Stefan,Nguyen,Android,Mobile App,700436
700442,114551.0,Lina,Rossi,desktop,Condor App,700442
700442,,Lina,Dubois,Desktop,Call Center,700442
700450,743846.0,Jamie,Smith,Desktop,condor website,700450
700450,,Maya,Garcia,Desktop,Mobile App,700450
700451,,Stefan,Nguyen,Desktop,Mobile App,700451
700451,,Maya,Martinez,iPhone,Condor App,700451
700451,,Maya,Martinez,Tablet,Call Center,700451
700452,916032.0,Lina,Rossi,Desktop,Mobile App,700452
700452,,Fatima,Smith,Android,Call Center,700452
700455,703365.0,Carlos,Tanaka,Desktop,CONDOR WEBSITE,700455
700455,425656.0,Lina,Schmidt,android,Condor Website,700455
700455,910260.0,Carlos,Müller,iPhone,Mobile App,700455
700458,684191.0,Carlos,Rossi,iPhone,Mobile App,700458
700458,,Ali,Smith,Android,Condor App,700458
700458,,Jamie,Smith,DESKTOP,Mobile App,700458
700460,753417.0,Lina,Smith,android,Travel Agency ,700460
700460,870356.0,Lina,Rossi,iPhone,Condor App,700460
700460,513257.0,Carlos,Müller,Android,Travel Agency,700460
700464,,Ali,Nguyen,Android,travel agency,700464
700464,916759.0,Yuki,Martinez,Android,Travel Agency,700464
700465,829731.0,Carlos,Rossi,Tablet,Travel Agency,700465
700465,785887.0,Alex,Nguyen,Android,Mobile App,700465
700468,384534.0,Lina,Rossi,Android,call center,700468
700468,424915.0,Lina,Müller,Tablet,Condor App,700468
700469,,Maya,Tanaka,tablet,Call Center,700469
700469,106320.0,Carlos,Garcia,Tablet,Condor App,700469
700471,,Omar,Khan,Desktop,Condor App,700471
700471,777552.0,Lina,Tanaka,DESKTOP,Travel Agency,700471
700473,510375.0,Alex,Schmidt,iPhone,CALL CENTER,700473
700473,,Lina,Smith,Tablet,Call Center,700473
700473 ,791143.0,Lina,Tanaka,iPhone, Mobile App,700473
700477,373281.0,Alex,Rossi,Tablet,Call Center,700477
700477!,306037.0,Jamie,Nguyen,Android ,Condor Website,700477
700477,,Carlos,Müller,iPhone,Condor Website,700477
700480,647265.0,Yuki,Garcia,iPhone,Condor Website,700480
700480,939390.0,Fatima,Dubois,iPhone,Call Center,700480
700482,655309.0,Lina,Tanaka,Tablet,Travel Agency ,700482
700482@,898803.0,Ali,Martinez,Android,Condor Website ,700482
700482,192514.0,Maya,Tanaka, Desktop,Travel Agency,700482
700484!,,Carlos,Martinez,iPhone,Travel Agency,700484
700484,521017.0,Ali,Schmidt,Android,Call Center,700484
700485,494058.0,Fatima,Khan,Tablet,CONDOR WEBSITE,700485
700485,583312.0,Carlos,Rossi,Desktop,Condor Website,700485
700486,,Lina,Dubois,Tablet, Condor App,700486
700486,,Omar,Rossi,Tablet,Call Center,700486
700487,,Fatima,Khan,Desktop,Mobile App,700487
700487,,Omar,Dubois,Android,Travel Agency,700487
700491,689915.0,Ali,Schmidt,Android,condor app,700491
700491,,Carlos,Nguyen,Android,Travel Agency,700491
700492,,Ali,Rossi,Tablet,Mobile App,700492
700492,779732.0,Omar,Garcia,Android,Travel Agency,700492
700495,724999.0,Ali,Khan,iPhone,Travel Agency,700495
700495,972439.0,Jamie,Dubois,iPhone ,CALL CENTER,700495
700496,968091.0,Fatima,Martinez, Desktop,Travel Agency ,700496
700496,164169.0,Stefan,Müller,iPhone,Condor Website,700496
700497@,,Stefan,Dubois,Android,call center,700497
700497,860227.0,Stefan,Tanaka,Tablet ,CONDOR APP,700497
700500,735023.0,Alex,Tanaka,Android,Condor Website,700500
700500 ,926230.0,Fatima,Dubois,Tablet,Condor App,700500
700501!,,Fatima,Rossi,iPhone,Travel Agency,700501
700501,,Yuki,Tanaka,Android,Condor App,700501
700501,,Alex,Smith,iPhone,Condor Website,700501
700502,391776.0,Lina,Smith,Desktop,Call Center,700502
700502,945959.0,Maya,Rossi,Tablet,Mobile App,700502
700503,858589.0,Jamie,Smith, iPhone,Mobile App,700503
700503,,Ali,Martinez,IPHONE,MOBILE APP,700503
700505,,Omar,Khan,Android,Travel Agency,700505
700505,,Yuki,Garcia,iPhone,Condor Website,700505
700507,651186.0,Stefan,Smith,iPhone,Call Center,700507
700507,,Jamie,Smith,iphone,Travel Agency,700507
700507,175686.0,Ali,Khan,android,Condor App,700507
700508,778941.0,Maya,Dubois,Android ,condor app,700508
700508,,Carlos,Garcia,Desktop,Travel Agency,700508
700511,,Stefan,Garcia,Tablet,Travel Agency,700511
700511,416448.0,Carlos,Müller,Android ,Travel Agency ,700511
700511,,Lina,Schmidt,Desktop,Call Center,700511
700513,,Fatima,Khan,Android,condor app,700513
700513,124468.0,Lina,Smith,Tablet,Condor Website,700513
700515,,Fatima,Khan,Android,Condor App,700515
700515 ,395962.0,Lina,Müller,iPhone,Travel Agency,700515
700516,652815.0,Yuki,Khan,TABLET,Mobile App,700516
700516,694469.0,Lina,Tanaka,Android,Call Center,700516
700516,932857.0,Lina,Tanaka,Tablet ,Condor Website,700516
700517,431573.0,Fatima,Dubois,Tablet,Condor Website,700517
700517,572801.0,Lina,Nguyen,Desktop, Travel Agency,700517
700519,643288.0,Yuki,Tanaka,iPhone,Travel Agency,700519
700519,,Stefan,Smith,iPhone,Travel Agency,700519
700519,600748.0,Lina,Martinez,Android , Condor Website,700519
700520,,Stefan,Garcia,Desktop,Mobile App,700520
